Title,MLM_Sentence
Psychiatric Aides,"[MASK] assist mentally impaired or emotionally disturbed patients, working under direction of nursing and medical staff."
Occupational Therapy Assistants,[MASK] assist occupational therapists in providing occupational therapy treatments and procedures.
Occupational Therapy Aides,"[MASK] under close supervision of an occupational therapist or occupational therapy assistant, perform only delegated, selected, or routine tasks in specific situations."
Physical Therapist Assistants,[MASK] assist physical therapists in providing physical therapy treatments and procedures.
Physical Therapist Aides,"[MASK] under close supervision of a physical therapist or physical therapy assistant, perform only delegated, selected, or routine tasks in specific situations."
Massage Therapists,[MASK] perform therapeutic massages of soft tissues and joints.
Dental Assistants,[MASK] perform limited clinical duties under the direction of a dentist.
Medical Assistants,[MASK] perform administrative and certain clinical duties under the direction of a physician.
Medical Equipment Preparers,"[MASK] prepare, sterilize, install, or clean laboratory or healthcare equipment."
Medical Transcriptionists,"[MASK] transcribe medical reports recorded by physicians and other healthcare practitioners using various electronic devices, covering office visits, emergency room visits, diagnostic imaging studies, operations, chart reviews, and final summaries."
Pharmacy Aides,"[MASK] record drugs delivered to the pharmacy, store incoming merchandise, and inform the supervisor of stock needs."
Veterinary Assistants and Laboratory Animal Caretakers,"[MASK] feed, water, and examine pets and other nonfarm animals for signs of illness, disease, or injury in laboratories and animal hospitals and clinics."
Phlebotomists,"[MASK] draw blood for tests, transfusions, donations, or research."
"Healthcare Support Workers, All Other",[MASK] all healthcare support workers not listed separately.
Speech-Language Pathology Assistants,"[MASK] assist speech-language pathologists in the assessment and treatment of speech, language, voice, and fluency disorders."
Endoscopy Technicians,[MASK] maintain a sterile field to provide support for physicians and nurses during endoscopy procedures.
First-Line Supervisors of Correctional Officers,[MASK] directly supervise and coordinate activities of correctional officers and jailers.
First-Line Supervisors of Police and Detectives,[MASK] directly supervise and coordinate activities of members of police force.
First-Line Supervisors of Firefighting and Prevention Workers,[MASK] directly supervise and coordinate activities of workers engaged in firefighting and fire prevention and control.
First-Line Supervisors of Security Workers,[MASK] directly supervise and coordinate activities of security workers and security guards.
"First-Line Supervisors of Protective Service Workers, All Other",[MASK] all protective service supervisors not listed separately above.
Firefighters,"[MASK] control and extinguish fires or respond to emergency situations where life, property, or the environment is at risk."
Fire Inspectors and Investigators,"[MASK] inspect buildings to detect fire hazards and enforce local ordinances and state laws, or investigate and gather facts to determine cause of fires and explosions."
Forest Fire Inspectors and Prevention Specialists,"[MASK] enforce fire regulations, inspect forest for fire hazards, and recommend forest fire prevention or control measures."
Bailiffs,[MASK] maintain order in courts of law.
Correctional Officers and Jailers,[MASK] guard inmates in penal or rehabilitative institutions in accordance with established regulations and procedures.
Detectives and Criminal Investigators,"[MASK] conduct investigations related to suspected violations of federal, state, or local laws to prevent or solve crimes."
Police Identification and Records Officers,"[MASK] collect evidence at crime scene, classify and identify fingerprints, and photograph evidence for use in criminal and civil cases."
Intelligence Analysts,"[MASK] gather, analyze, or evaluate information from a variety of sources, such as law enforcement databases, surveillance, intelligence networks or geographic information systems."
Fish and Game Wardens,[MASK] patrol assigned area to prevent fish and game law violations.
Parking Enforcement Workers,"[MASK] patrol assigned area, such as public parking lot or city streets to issue tickets to overtime parking violators and illegally parked vehicles."
Police and Sheriff's Patrol Officers,"[MASK] maintain order and protect life and property by enforcing local, tribal, state, or federal laws and ordinances."
Customs and Border Protection Officers,"[MASK] investigate and inspect persons, common carriers, goods, and merchandise, arriving in or departing from the United States or between states to detect violations of immigration and customs laws and regulations."
Transit and Railroad Police,"[MASK] protect and police railroad and transit property, employees, or passengers."
Animal Control Workers,"[MASK] handle animals for the purpose of investigations of mistreatment, or control of abandoned, dangerous, or unattended animals."
Private Detectives and Investigators,"[MASK] gather, analyze, compile, and report information regarding individuals or organizations to clients, or detect occurrences of unlawful acts or infractions of rules in private establishment."
Gambling Surveillance Officers and Gambling Investigators,[MASK] observe gambling operation for irregular activities such as cheating or theft by either employees or patrons.
Security Guards,"[MASK] guard, patrol, or monitor premises to prevent theft, violence, or infractions of rules."
Crossing Guards and Flaggers,"[MASK] guide or control vehicular or pedestrian traffic at such places as streets, schools, railroad crossings, or construction sites."
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","[MASK] monitor recreational areas, such as pools, beaches, or ski slopes, to provide assistance and protection to participants."
Transportation Security Screeners,"[MASK] conduct screening of passengers, baggage, or cargo to ensure compliance with Transportation Security Administration (TSA) regulations."
School Bus Monitors,[MASK] maintain order among students on a school bus.
"Protective Service Workers, All Other",[MASK] all protective service workers not listed separately.
Retail Loss Prevention Specialists,[MASK] implement procedures and systems to prevent merchandise loss.
Chefs and Head Cooks,"[MASK] direct and may participate in the preparation, seasoning, and cooking of salads, soups, fish, meats, vegetables, desserts, or other foods."
First-Line Supervisors of Food Preparation and Serving Workers,[MASK] directly supervise and coordinate activities of workers engaged in preparing and serving food.
"Cooks, Fast Food",[MASK] prepare and cook food in a fast food restaurant with a limited menu.
"Cooks, Institution and Cafeteria","[MASK] prepare and cook large quantities of food for institutions, such as schools, hospitals, or cafeterias."
"Cooks, Private Household",[MASK] prepare meals in private homes.
"Cooks, Restaurant","[MASK] prepare, season, and cook dishes such as soups, meats, vegetables, or desserts in restaurants."
"Cooks, Short Order",[MASK] prepare and cook to order a variety of foods that require only a short preparation time.
"Cooks, All Other",[MASK] all cooks not listed separately.
Food Preparation Workers,"[MASK] perform a variety of food preparation duties other than cooking, such as preparing cold foods and shellfish, slicing meat, and brewing coffee or tea."
Bartenders,"[MASK] mix and serve drinks to patrons, directly or through waitstaff."
Fast Food and Counter Workers,[MASK] perform duties such as taking orders and serving food and beverages.
Baristas,[MASK] prepare or serve specialty coffee or other beverages.
Waiters and Waitresses,[MASK] take orders and serve food and beverages to patrons at tables in dining establishment.
"Food Servers, Nonrestaurant","[MASK] serve food to individuals outside of a restaurant environment, such as in hotel rooms, hospital rooms, residential care facilities, or cars."
Dining Room and Cafeteria Attendants and Bartender Helpers,[MASK] facilitate food service.
Dishwashers,"[MASK] clean dishes, kitchen, food preparation equipment, or utensils."
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","[MASK] welcome patrons, seat them at tables or in lounge, and help ensure quality of facilities and service."
"Food Preparation and Serving Related Workers, All Other",[MASK] all food preparation and serving related workers not listed separately.
First-Line Supervisors of Housekeeping and Janitorial Workers,"[MASK] directly supervise and coordinate work activities of cleaning personnel in hotels, hospitals, offices, and other establishments."
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",[MASK] directly supervise and coordinate activities of workers engaged in landscaping or groundskeeping activities.
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",[MASK] keep buildings in clean and orderly condition.
Maids and Housekeeping Cleaners,"[MASK] perform any combination of light cleaning duties to maintain private households or commercial establishments, such as hotels and hospitals, in a clean and orderly manner."
"Building Cleaning Workers, All Other",[MASK] all building cleaning workers not listed separately.
Pest Control Workers,[MASK] apply or release chemical solutions or toxic gases and set traps to kill or remove pests and vermin that infest buildings and surrounding areas.
Landscaping and Groundskeeping Workers,[MASK] landscape or maintain grounds of property using hand or power tools or equipment.
"Pesticide Handlers, Sprayers, and Applicators, Vegetation","[MASK] mix or apply pesticides, herbicides, fungicides, or insecticides through sprays, dusts, vapors, soil incorporation, or chemical application on trees, shrubs, lawns, or crops."
Tree Trimmers and Pruners,"[MASK] using sophisticated climbing and rigging techniques, cut away dead or excess branches from trees or shrubs to maintain right-of-way for roads, sidewalks, or utilities, or to improve appearance, health, and value of tree."
"Grounds Maintenance Workers, All Other",[MASK] all grounds maintenance workers not listed separately.
First-Line Supervisors of Gambling Services Workers,[MASK] directly supervise and coordinate activities of workers in assigned gambling areas.
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",[MASK] directly supervise and coordinate activities of entertainment and recreation related workers.
First-Line Supervisors of Personal Service Workers,[MASK] supervise and coordinate activities of personal service workers.
Animal Trainers,"[MASK] train animals for riding, harness, security, performance, or obedience, or for assisting persons with disabilities."
Animal Caretakers,"[MASK] feed, water, groom, bathe, exercise, or otherwise provide care to promote and maintain the well-being of pets and other animals that are not raised for consumption, such as dogs, cats, race horses, ornamental fish or birds, zoo animals, and mice."
Gambling Dealers,[MASK] operate table games.
Gambling and Sports Book Writers and Runners,[MASK] post information enabling patrons to wager on various races and sporting events.
"Gambling Service Workers, All Other",[MASK] all gambling service workers not listed separately.
Motion Picture Projectionists,[MASK] set up and operate motion picture projection and related sound reproduction equipment.
"Ushers, Lobby Attendants, and Ticket Takers","[MASK] assist patrons at entertainment events by performing duties, such as collecting admission tickets and passes from patrons, assisting in finding seats, searching for lost articles, and helping patrons locate such facilities as restrooms and telephones."
Amusement and Recreation Attendants,[MASK] perform a variety of attending duties at amusement or recreation facility.
Costume Attendants,"[MASK] select, fit, and take care of costumes for cast members, and aid entertainers."
"Locker Room, Coatroom, and Dressing Room Attendants","[MASK] provide personal items to patrons or customers in locker rooms, dressing rooms, or coatrooms."
"Entertainment Attendants and Related Workers, All Other",[MASK] all entertainment attendants and related workers not listed separately.
Embalmers,[MASK] prepare bodies for interment in conformity with legal requirements.
Crematory Operators,[MASK] operate crematory equipment to reduce human or animal remains to bone fragments in accordance with state and local regulations.
Funeral Attendants,"[MASK] perform a variety of tasks during funeral, such as placing casket in parlor or chapel prior to service, arranging floral offerings or lights around casket, directing or escorting mourners, closing casket, and issuing and storing funeral equipment."
"Morticians, Undertakers, and Funeral Arrangers","[MASK] perform various tasks to arrange and direct individual funeral services, such as coordinating transportation of body to mortuary, interviewing family or other authorized person to arrange details, selecting pallbearers, aiding with the selection of officials for religious rites, and providing transportation for mourners."
Barbers,"[MASK] provide barbering services, such as cutting, trimming, shampooing, and styling hair; trimming beards; or giving shaves."
"Hairdressers, Hairstylists, and Cosmetologists","[MASK] provide beauty services, such as cutting, coloring, and styling hair, and massaging and treating scalp."
"Makeup Artists, Theatrical and Performance","[MASK] apply makeup to performers to reflect period, setting, and situation of their role."
Manicurists and Pedicurists,[MASK] clean and shape customers' fingernails and toenails.
Shampooers,[MASK] shampoo and rinse customers' hair.
Skincare Specialists,[MASK] provide skincare treatments to face and body to enhance an individual's appearance.
Baggage Porters and Bellhops,[MASK] handle baggage for travelers at transportation terminals or for guests at hotels or similar establishments.
Concierges,"[MASK] assist patrons at hotel, apartment, or office building with personal services."
Tour Guides and Escorts,"[MASK] escort individuals or groups on sightseeing tours or through places of interest, such as industrial establishments, public buildings, and art galleries."
Travel Guides,"[MASK] plan, organize, and conduct long-distance travel, tours, and expeditions for individuals and groups."
Childcare Workers,"[MASK] attend to children at schools, businesses, private households, and childcare institutions."
Nannies,"[MASK] care for children in private households and provide support and expertise to parents in satisfying children's physical, emotional, intellectual, and social needs."
Exercise Trainers and Group Fitness Instructors,[MASK] instruct or coach groups or individuals in exercise activities for the primary purpose of personal fitness.
Recreation Workers,"[MASK] conduct recreation activities with groups in public, private, or volunteer agencies or recreation facilities."
Residential Advisors,"[MASK] coordinate activities in resident facilities in secondary school and college dormitories, group homes, or similar establishments."
"Personal Care and Service Workers, All Other",[MASK] all personal care and service workers not listed separately.
First-Line Supervisors of Retail Sales Workers,[MASK] directly supervise and coordinate activities of retail sales workers in an establishment or department.
First-Line Supervisors of Non-Retail Sales Workers,[MASK] directly supervise and coordinate activities of sales workers other than retail sales workers.
Cashiers,[MASK] receive and disburse money in establishments other than financial institutions.
Gambling Change Persons and Booth Cashiers,"[MASK] exchange coins, tokens, and chips for patrons' money."
Counter and Rental Clerks,"[MASK] receive orders, generally in person, for repairs, rentals, and services."
Parts Salespersons,[MASK] sell spare and replacement parts and equipment in repair shop or parts store.
Retail Salespersons,"[MASK] sell merchandise, such as furniture, motor vehicles, appliances, or apparel to consumers."
Advertising Sales Agents,"[MASK] sell or solicit advertising space, time, or media in publications, signage, TV, radio, or Internet establishments or public spaces."
Insurance Sales Agents,"[MASK] sell life, property, casualty, health, automotive, or other types of insurance."
"Securities, Commodities, and Financial Services Sales Agents","[MASK] buy and sell securities or commodities in investment and trading firms, or provide financial services to businesses and individuals."
Travel Agents,[MASK] plan and sell transportation and accommodations for customers.
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",[MASK] sell services to individuals or businesses.
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","[MASK] sell goods for wholesalers or manufacturers where technical or scientific knowledge is required in such areas as biology, engineering, chemistry, and electronics, normally obtained from at least 2 years of postsecondary education."
Solar Sales Representatives and Assessors,"[MASK] contact new or existing customers to determine their solar equipment needs, suggest systems or equipment, or estimate costs."
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",[MASK] sell goods for wholesalers or manufacturers to businesses or groups of individuals.
Demonstrators and Product Promoters,[MASK] demonstrate merchandise and answer questions for the purpose of creating public interest in buying the product.
Models,"[MASK] model garments or other apparel and accessories for prospective buyers at fashion shows, private showings, or retail establishments."
Real Estate Brokers,"[MASK] operate real estate office, or work for commercial real estate firm, overseeing real estate transactions."
Real Estate Sales Agents,"[MASK] rent, buy, or sell property for clients."
Sales Engineers,"[MASK] sell business goods or services, the selling of which requires a technical background equivalent to a baccalaureate degree in engineering."
Telemarketers,[MASK] solicit donations or orders for goods or services over the telephone.
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",[MASK] sell goods or services door-to-door or on the street.
"Sales and Related Workers, All Other",[MASK] all sales and related workers not listed separately.
First-Line Supervisors of Office and Administrative Support Workers,[MASK] directly supervise and coordinate the activities of clerical and administrative support workers.
"Switchboard Operators, Including Answering Service","[MASK] operate telephone business systems equipment or switchboards to relay incoming, outgoing, and interoffice calls."
Telephone Operators,"[MASK] provide information by accessing alphabetical, geographical, or other directories."
"Communications Equipment Operators, All Other",[MASK] all communications equipment operators not listed separately.
Bill and Account Collectors,"[MASK] locate and notify customers of delinquent accounts by mail, telephone, or personal visit to solicit payment."
Billing and Posting Clerks,"[MASK] compile, compute, and record billing, accounting, statistical, and other numerical data for billing purposes."
"Bookkeeping, Accounting, and Auditing Clerks","[MASK] compute, classify, and record numerical data to keep financial records complete."
Gambling Cage Workers,"[MASK] in a gambling establishment, conduct financial transactions for patrons."
Payroll and Timekeeping Clerks,[MASK] compile and record employee time and payroll data.
Procurement Clerks,[MASK] compile information and records to draw up purchase orders for procurement of materials and services.
Tellers,[MASK] receive and pay out money.
"Financial Clerks, All Other",[MASK] all financial clerks not listed separately.
Brokerage Clerks,"[MASK] perform duties related to the purchase, sale, or holding of securities."
Correspondence Clerks,"[MASK] compose letters or electronic correspondence in reply to requests for merchandise, damage claims, credit and other information, delinquent accounts, incorrect billings, or unsatisfactory services."
"Court, Municipal, and License Clerks","[MASK] perform clerical duties for courts of law, municipalities, or governmental licensing agencies and bureaus."
"Credit Authorizers, Checkers, and Clerks",[MASK] authorize credit charges against customers' accounts.
Customer Service Representatives,[MASK] interact with customers to provide basic or scripted information in response to routine inquiries about products and services.
"Eligibility Interviewers, Government Programs","[MASK] determine eligibility of persons applying to receive assistance from government programs and agency resources, such as welfare, unemployment benefits, social security, and public housing."
File Clerks,"[MASK] file correspondence, cards, invoices, receipts, and other records in alphabetical or numerical order or according to the filing system used."
"Hotel, Motel, and Resort Desk Clerks","[MASK] accommodate hotel, motel, and resort patrons by registering and assigning rooms to guests, issuing room keys or cards, transmitting and receiving messages, keeping records of occupied rooms and guests' accounts, making and confirming reservations, and presenting statements to and collecting payments from departing guests."
"Interviewers, Except Eligibility and Loan","[MASK] interview persons by telephone, mail, in person, or by other means for the purpose of completing forms, applications, or questionnaires."
"Library Assistants, Clerical","[MASK] compile records, and sort, shelve, issue, and receive library materials such as books, electronic media, pictures, cards, slides and microfilm."
Loan Interviewers and Clerks,"[MASK] interview loan applicants to elicit information; investigate applicants' backgrounds and verify references; prepare loan request papers; and forward findings, reports, and documents to appraisal department."
New Accounts Clerks,[MASK] interview persons desiring to open accounts in financial institutions.
Order Clerks,"[MASK] receive and process incoming orders for materials, merchandise, classified ads, or services such as repairs, installations, or rental of facilities."
"Human Resources Assistants, Except Payroll and Timekeeping",[MASK] compile and keep personnel records.
Receptionists and Information Clerks,"[MASK] answer inquiries and provide information to the general public, customers, visitors, and other interested parties regarding activities conducted at establishment and location of departments, offices, and employees within the organization."
Reservation and Transportation Ticket Agents and Travel Clerks,"[MASK] make and confirm reservations for transportation or lodging, or sell transportation tickets."
"Information and Record Clerks, All Other",[MASK] all information and record clerks not listed separately.
Cargo and Freight Agents,"[MASK] expedite and route movement of incoming and outgoing cargo and freight shipments in airline, train, and trucking terminals and shipping docks."
Freight Forwarders,"[MASK] research rates, routings, or modes of transport for shipment of products."
Couriers and Messengers,"[MASK] pick up and deliver messages, documents, packages, and other items between offices or departments within an establishment or directly to other business concerns, traveling by foot, bicycle, motorcycle, automobile, or public conveyance."
Public Safety Telecommunicators,"[MASK] operate telephone, radio, or other communication systems to receive and communicate requests for emergency assistance at 9-1-1 public safety answering points and emergency operations centers."
"Dispatchers, Except Police, Fire, and Ambulance","[MASK] schedule and dispatch workers, work crews, equipment, or service vehicles for conveyance of materials, freight, or passengers, or for normal installation, service, or emergency repairs rendered outside the place of business."
"Meter Readers, Utilities","[MASK] read meter and record consumption of electricity, gas, water, or steam."
Postal Service Clerks,"[MASK] perform any combination of tasks in a United States Postal Service (USPS) post office, such as receive letters and parcels; sell postage and revenue stamps, postal cards, and stamped envelopes; fill out and sell money orders; place mail in pigeon holes of mail rack or in bags; and examine mail for correct postage."
Postal Service Mail Carriers,[MASK] sort and deliver mail for the United States Postal Service (USPS).
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",[MASK] prepare incoming and outgoing mail for distribution for the United States Postal Service (USPS).
"Production, Planning, and Expediting Clerks",[MASK] coordinate and expedite the flow of work and materials within or between departments of an establishment according to production schedule.
"Shipping, Receiving, and Inventory Clerks",[MASK] verify and maintain records on incoming and outgoing shipments involving inventory.
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","[MASK] weigh, measure, and check materials, supplies, and equipment for the purpose of keeping relevant records."
Executive Secretaries and Executive Administrative Assistants,"[MASK] provide high-level administrative support by conducting research, preparing statistical reports, and handling information requests, as well as performing routine administrative functions such as preparing correspondence, receiving visitors, arranging conference calls, and scheduling meetings."
Legal Secretaries and Administrative Assistants,"[MASK] perform secretarial duties using legal terminology, procedures, and documents."
Medical Secretaries and Administrative Assistants,"[MASK] perform secretarial duties using specific knowledge of medical terminology and hospital, clinic, or laboratory procedures."
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","[MASK] perform routine administrative functions such as drafting correspondence, scheduling appointments, organizing and maintaining paper and electronic files, or providing information to callers."
Data Entry Keyers,"[MASK] operate data entry device, such as keyboard or photo composing perforator."
Word Processors and Typists,"[MASK] use word processor, computer, or typewriter to type letters, reports, forms, or other material from rough draft, corrected copy, or voice recording."
Desktop Publishers,[MASK] format typescript and graphic elements using computer software to produce publication-ready material.
Insurance Claims and Policy Processing Clerks,"[MASK] process new insurance policies, modifications to existing policies, and claims forms."
"Mail Clerks and Mail Machine Operators, Except Postal Service",[MASK] prepare incoming and outgoing mail for distribution.
"Office Clerks, General","[MASK] perform duties too varied and diverse to be classified in any specific office clerical occupation, requiring knowledge of office systems and procedures."
"Office Machine Operators, Except Computer","[MASK] operate one or more of a variety of office machines, such as photocopying, photographic, and duplicating machines, or other office machines."
Proofreaders and Copy Markers,"[MASK] read transcript or proof type setup to detect and mark for correction any grammatical, typographical, or compositional errors."
Statistical Assistants,[MASK] compile and compute data according to statistical formulas for use in statistical studies.
"Office and Administrative Support Workers, All Other",[MASK] all office and administrative support workers not listed separately.
"First-Line Supervisors of Farming, Fishing, and Forestry Workers","[MASK] directly supervise and coordinate the activities of agricultural, forestry, aquacultural, and related workers."
Agricultural Inspectors,"[MASK] inspect agricultural commodities, processing equipment, and facilities, and fish and logging operations, to ensure compliance with regulations and laws governing health, quality, and safety."
Animal Breeders,"[MASK] select and breed animals according to their genealogy, characteristics, and offspring."
"Graders and Sorters, Agricultural Products","[MASK] grade, sort, or classify unprocessed food and other agricultural products by size, weight, color, or condition."
Agricultural Equipment Operators,"[MASK] drive and control equipment to support agricultural activities such as tilling soil; planting, cultivating, and harvesting crops; feeding and herding livestock; or removing animal waste."
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","[MASK] manually plant, cultivate, and harvest vegetables, fruits, nuts, horticultural specialties, and field crops."
"Farmworkers, Farm, Ranch, and Aquacultural Animals","[MASK] attend to live farm, ranch, open range or aquacultural animals that may include cattle, sheep, swine, goats, horses and other equines, poultry, rabbits, finfish, shellfish, and bees."
"Agricultural Workers, All Other",[MASK] all agricultural workers not listed separately.
Fishing and Hunting Workers,"[MASK] hunt, trap, catch, or gather wild animals or aquatic animals and plants."
Forest and Conservation Workers,"[MASK] under supervision, perform manual labor necessary to develop, maintain, or protect areas such as forests, forested areas, woodlands, wetlands, and rangelands through such activities as raising and transporting seedlings; combating insects, pests, and diseases harmful to plant life; and building structures to control water, erosion, and leaching of soil."
Fallers,[MASK] use axes or chainsaws to fell trees using knowledge of tree characteristics and cutting techniques to control direction of fall and minimize tree damage.
Logging Equipment Operators,"[MASK] drive logging tractor or wheeled vehicle equipped with one or more accessories, such as bulldozer blade, frontal shear, grapple, logging arch, cable winches, hoisting rack, or crane boom, to fell tree; to skid, load, unload, or stack logs; or to pull stumps or clear brush."
Log Graders and Scalers,"[MASK] grade logs or estimate the marketable content or value of logs or pulpwood in sorting yards, millpond, log deck, or similar locations."
"Logging Workers, All Other",[MASK] all logging workers not listed separately.
First-Line Supervisors of Construction Trades and Extraction Workers,[MASK] directly supervise and coordinate activities of construction or extraction workers.
Solar Energy Installation Managers,[MASK] direct work crews installing residential or commercial solar photovoltaic or thermal systems.
Boilermakers,"[MASK] construct, assemble, maintain, and repair stationary steam boilers and boiler house auxiliaries."
Brickmasons and Blockmasons,"[MASK] lay and bind building materials, such as brick, structural tile, concrete block, cinder block, glass block, and terra-cotta block, with mortar and other substances, to construct or repair walls, partitions, arches, sewers, and other structures."
Stonemasons,"[MASK] build stone structures, such as piers, walls, and abutments."
Carpenters,"[MASK] construct, erect, install, or repair structures and fixtures made of wood and comparable materials, such as concrete forms; building frameworks, including partitions, joists, studding, and rafters; and wood stairways, window and door frames, and hardwood floors."
Carpet Installers,[MASK] lay and install carpet from rolls or blocks on floors.
"Floor Layers, Except Carpet, Wood, and Hard Tiles","[MASK] apply blocks, strips, or sheets of shock-absorbing, sound-deadening, or decorative coverings to floors."
Floor Sanders and Finishers,"[MASK] scrape and sand wooden floors to smooth surfaces using floor scraper and floor sanding machine, and apply coats of finish."
Tile and Stone Setters,"[MASK] apply hard tile, stone, and comparable materials to walls, floors, ceilings, countertops, and roof decks."
Cement Masons and Concrete Finishers,"[MASK] smooth and finish surfaces of poured concrete, such as floors, walks, sidewalks, roads, or curbs using a variety of hand and power tools."
Terrazzo Workers and Finishers,"[MASK] apply a mixture of cement, sand, pigment, or marble chips to floors, stairways, and cabinet fixtures to fashion durable and decorative surfaces."
Construction Laborers,[MASK] perform tasks involving physical labor at construction sites.
"Paving, Surfacing, and Tamping Equipment Operators","[MASK] operate equipment used for applying concrete, asphalt, or other materials to road beds, parking lots, or airport runways and taxiways or for tamping gravel, dirt, or other materials."
Pile Driver Operators,"[MASK] operate pile drivers mounted on skids, barges, crawler treads, or locomotive cranes to drive pilings for retaining walls, bulkheads, and foundations of structures such as buildings, bridges, and piers."
Operating Engineers and Other Construction Equipment Operators,"[MASK] operate one or several types of power construction equipment, such as motor graders, bulldozers, scrapers, compressors, pumps, derricks, shovels, tractors, or front-end loaders to excavate, move, and grade earth, erect structures, or pour concrete or other hard surface pavement."
Drywall and Ceiling Tile Installers,[MASK] apply plasterboard or other wallboard to ceilings or interior walls of buildings.
Tapers,[MASK] seal joints between plasterboard or other wallboard to prepare wall surface for painting or papering.
Electricians,"[MASK] install, maintain, and repair electrical wiring, equipment, and fixtures."
Glaziers,"[MASK] install glass in windows, skylights, store fronts, and display cases, or on surfaces, such as building fronts, interior walls, ceilings, and tabletops."
"Insulation Workers, Floor, Ceiling, and Wall",[MASK] line and cover structures with insulating materials.
"Insulation Workers, Mechanical","[MASK] apply insulating materials to pipes or ductwork, or other mechanical systems in order to help control and maintain temperature."
"Painters, Construction and Maintenance","[MASK] paint walls, equipment, buildings, bridges, and other structural surfaces, using brushes, rollers, and spray guns."
Paperhangers,"[MASK] cover interior walls or ceilings of rooms with decorative wallpaper or fabric, or attach advertising posters on surfaces such as walls and billboards."
Pipelayers,"[MASK] lay pipe for storm or sanitation sewers, drains, and water mains."
"Plumbers, Pipefitters, and Steamfitters","[MASK] assemble, install, alter, and repair pipelines or pipe systems that carry water, steam, air, or other liquids or gases."
Solar Thermal Installers and Technicians,"[MASK] install or repair solar energy systems designed to collect, store, and circulate solar-heated water for residential, commercial or industrial use."
Plasterers and Stucco Masons,"[MASK] apply interior or exterior plaster, cement, stucco, or similar materials."
Reinforcing Iron and Rebar Workers,[MASK] position and secure steel bars or mesh in concrete forms in order to reinforce concrete.
Roofers,"[MASK] cover roofs of structures with shingles, slate, asphalt, aluminum, wood, or related materials."
Sheet Metal Workers,"[MASK] fabricate, assemble, install, and repair sheet metal products and equipment, such as ducts, control boxes, drainpipes, and furnace casings."
Structural Iron and Steel Workers,"[MASK] raise, place, and unite iron or steel girders, columns, and other structural members to form completed structures or structural frameworks."
Solar Photovoltaic Installers,"[MASK] assemble, install, or maintain solar photovoltaic (PV) systems on roofs or other structures in compliance with site assessment and schematics."
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","[MASK] help brickmasons, blockmasons, stonemasons, or tile and marble setters by performing duties requiring less skill."
Helpers--Carpenters,[MASK] help carpenters by performing duties requiring less skill.
Helpers--Electricians,[MASK] help electricians by performing duties requiring less skill.
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","[MASK] help painters, paperhangers, plasterers, or stucco masons by performing duties requiring less skill."
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","[MASK] help plumbers, pipefitters, steamfitters, or pipelayers by performing duties requiring less skill."
Helpers--Roofers,[MASK] help roofers by performing duties requiring less skill.
"Helpers, Construction Trades, All Other",[MASK] all construction trades helpers not listed separately.
Construction and Building Inspectors,"[MASK] inspect structures using engineering skills to determine structural soundness and compliance with specifications, building codes, and other regulations."
Energy Auditors,"[MASK] conduct energy audits of buildings, building systems, or process systems."
Elevator and Escalator Installers and Repairers,"[MASK] assemble, install, repair, or maintain electric or hydraulic freight or passenger elevators, escalators, or dumbwaiters."
Fence Erectors,"[MASK] erect and repair fences and fence gates, using hand and power tools."
Hazardous Materials Removal Workers,"[MASK] identify, remove, pack, transport, or dispose of hazardous materials, including asbestos, lead-based paint, waste oil, fuel, transmission fluid, radioactive materials, or contaminated soil."
Highway Maintenance Workers,"[MASK] maintain highways, municipal and rural roads, airport runways, and rights-of-way."
Rail-Track Laying and Maintenance Equipment Operators,"[MASK] lay, repair, and maintain track for standard or narrow-gauge railroad equipment used in regular railroad service or in plant yards, quarries, sand and gravel pits, and mines."
Septic Tank Servicers and Sewer Pipe Cleaners,"[MASK] clean and repair septic tanks, sewer lines, or drains."
Segmental Pavers,"[MASK] lay out, cut, and place segmental paving units."
"Construction and Related Workers, All Other",[MASK] all construction and related workers not listed separately.
Weatherization Installers and Technicians,[MASK] perform a variety of activities to weatherize homes and make them more energy efficient.
"Derrick Operators, Oil and Gas",[MASK] rig derrick equipment and operate pumps to circulate mud or fluid through drill hole.
"Rotary Drill Operators, Oil and Gas","[MASK] set up or operate a variety of drills to remove underground oil and gas, or remove core samples for testing during oil and gas exploration."
"Service Unit Operators, Oil and Gas","[MASK] operate equipment to increase oil flow from producing wells or to remove stuck pipe, casing, tools, or other obstructions from drilling wells."
